iter	Passed	Remaining
419	2361	3260
420	2365	3253
421	2369	3246
422	2374	3238
423	2379	3231
424	2398	3244
425	2402	3237
426	2407	3230
427	2411	3223
428	2416	3216
429	2420	3208
430	2425	3201
431	2429	3194
432	2434	3187
433	2438	3180
434	2444	3175
435	2449	3168
436	2460	3169
437	2464	3162
438	2469	3155
439	2475	3151
440	2480	3144
441	2484	3136
442	2491	3132
443	2496	3125
444	2500	3118
445	2505	3111
446	2522	3120
447	2526	3113
448	2531	3106
449	2536	3099
450	2540	3093
451	2545	3086
452	2549	3079
453	2554	3072
454	2559	3065
455	2563	3058
456	2568	3051
457	2572	3044
458	2577	3037
459	2581	3030
460	2586	3023
461	2590	3017
462	2595	3010
463	2599	3003
464	2612	3005
465	2616	2998
466	2621	2991
467	2625	2984
468	2630	2977
469	2634	2970
470	2638	2963
471	2643	2957
472	2648	2950
473	2652	2943
474	2658	2937
475	2662	2931
476	2666	2924
477	2671	2917
478	2675	2910
479	2680	2903
480	2684	2896
481	2689	2890
482	2693	2883
483	2698	2876
484	2702	2869
485	2707	2863
486	2711	2856
487	2716	2849
488	2720	2843
489	2725	2836
490	2729	2829
491	2734	2823
492	2739	2816
493	2743	2810
494	2748	2803
495	2752	2797
496	2757	2790
497	2762	2784
498	2767	2778
499	2772	2772
500	2776	2765
501	2783	2761
502	2787	2754
503	2792	2748
504	2797	2741
505	2801	2735
506	2806	2728
507	2811	2722
508	2816	2716
509	2821	2710
510	2825	2704
511	2830	2697
512	2835	2691
513	2839	2685
514	2844	2679
515	2849	2672
516	2860	2672
517	2864	2665
518	2869	2659
519	2874	2652
520	2878	2646
521	2883	2640
522	2887	2633
523	2892	2627
524	2897	2621
525	2906	2619
526	2911	2613
527	2916	2606
528	2920	2600
529	2925	2594
530	2929	2587
531	2934	2581
532	2939	2575
533	2943	2568
534	2947	2562
535	2968	2570
536	2973	2563
537	2984	2562
538	2988	2556
539	2993	2550
540	2998	2543
541	3014	2547
542	3019	2541
543	3023	2534
544	3028	2528
545	3033	2522
546	3037	2515
547	3042	2509
548	3047	2503
549	3051	2496
550	3056	2490
551	3060	2484
552	3065	2477
553	3076	2476
554	3080	2470
555	3085	2464
556	3090	2457
557	3094	2451
558	3099	2445
559	3104	2439
560	3108	2432
561	3122	2433
562	3137	2435
563	3141	2428
564	3146	2422
565	3151	2416
566	3155	2409
567	3167	2409
568	3172	2402
569	3182	2400
570	3186	2394
571	3191	2387
572	3195	2381
573	3200	2374
574	3204	2368
575	3209	2362
576	3213	2356
577	3218	2349
578	3222	2343
579	3227	2337
580	3244	2339
581	3248	2333
582	3253	2326
583	3260	2322
584	3264	2315
585	3274	2313
586	3278	2307
587	3283	2300
588	3288	2294
589	3292	2288
590	3304	2287
591	3309	2280
592	3313	2274
593	3318	2268
594	3322	2261
595	3327	2255
596	3331	2249
597	3351	2252
598	3355	2246
599	3367	2244
600	3371	2238
601	3376	2232
602	3382	2227
603	3387	2220
604	3391	2214
605	3396	2208
606	3400	2201
607	3405	2195
608	3413	2191
609	3417	2185
610	3422	2178
611	3427	2172
612	3431	2166
613	3436	2160
614	3444	2156
615	3448	2149
616	3459	2147
617	3464	2141
618	3468	2134
619	3472	2128
620	3491	2130
621	3495	2124
622	3500	2118
623	3506	2112
624	3510	2106
625	3515	2100
626	3520	2094
627	3524	2087
628	3528	2081
629	3533	2075
630	3537	2068
631	3542	2062
632	3547	2056
633	3551	2050
634	3556	2044
635	3560	2037
636	3565	2031
637	3570	2025
638	3574	2019
639	3579	2013
640	3583	2007
641	3588	2000
642	3592	1994
643	3600	1990
644	3604	1984
645	3609	1977
646	3615	1972
647	3630	1972
648	3635	1965
649	3639	1959
650	3644	1953
651	3648	1947
652	3653	1941
653	3658	1935
654	3676	1936
655	3681	1930
656	3686	1924
657	3690	1918
658	3695	1912
659	3699	1905
660	3704	1899
661	3708	1893
662	3713	1887
663	3718	1881
664	3722	1875
665	3726	1869
666	3731	1862
667	3736	1856
